time, ldr, temp, tsl2561, bh1750
1814,3345,32.3,74,75
1816,3311,32.3,69,74.17
1818,3305,32.3,68,75
1820,3342,32.3,73,74.17
1822,3347,32.3,76,75.83
1824,3327,32.3,71,74.17
1826,3303,32.3,67,75
1828,3305,32.3,68,75
1830,3324,32.3,71,74.17
1832,3344,32.2,75,75
1834,3351,32.3,76,74.17
1836,3340,32.2,72,75
1838,3315,32.2,69,75.83
1840,3301,32.3,67,74.17
1842,3328,32.2,67,75
1845,3314,32.2,69,75.83
1847,3334,32.2,73,74.17
1849,3349,32.3,76,75
1851,3347,32.2,75,75
1853,3325,32.2,70,74.17
1855,3306,32.3,68,75
1857,3307,32.2,68,74.17
1859,3330,32.2,72,75
1861,3349,32.3,76,75
1863,3345,32.3,74,75
1865,3319,32.2,69,75
1867,3298,32.2,67,74.17
1869,3313,32.2,69,75
1871,3341,32.2,74,75
1873,3351,32.2,76,75
1875,3341,32.2,73,75
1877,3317,32.2,69,74.17
1879,3299,32.2,67,75
1881,3304,32.2,68,75
1883,3315,32.2,70,74.17
1886,3330,32.2,72,75
1888,3344,32.2,75,75
1890,3346,32.2,76,74.17
1892,3347,32.2,75,75
1894,3339,32.2,73,75.83
1896,3322,32.2,70,74.17
1900,3301,32.2,67,75.83
1902,3306,32.2,67,75
1904,3311,32.2,69,74.17
1906,3326,32.2,71,75
1908,3341,32.2,74,75
1910,3344,32.2,75,74.17
1912,3349,32.2,76,75
1914,3349,32.2,76,75
1916,3344,32.2,74,74.17
1918,3341,32.2,73,75
1920,3326,32.2,71,75.83
1922,3319,32.2,70,75
1924,3312,32.2,69,74.17
1927,3299,32.2,68,75
1929,3302,32.2,67,75
1931,3298,32.3,67,74.17
1933,3306,32.2,68,74.17
1935,3311,32.3,69,75.83
1937,3315,32.3,70,75
1939,3330,32.2,71,74.17
1941,3337,32.3,73,75
1943,3366,32.2,75,75
1945,3348,32.2,76,74.17
1947,3344,32.3,76,75
1949,3349,32.3,75,75
1951,3345,32.3,73,74.17
1953,3332,32.3,72,75
1955,3316,32.2,71,75.83
1957,3319,32.2,70,75
1959,3312,32.3,69,74.17
1961,3303,32.2,69,75
1963,3307,32.2,67,75.83
1965,3303,32.2,67,74.17
1968,3302,32.3,68,74.17
1970,3312,32.2,69,75
1972,3319,32.3,70,75
1974,3329,32.3,72,74.17
1976,3342,32.2,73,75
1978,3346,32.3,75,75.83
1980,3350,32.2,76,74.17
1982,3344,32.3,76,74.17
1984,3345,32.3,75,75
1986,3338,32.3,73,75
1988,3335,32.2,72,74.17
